Data,Hora,Sensor01,Sensor02,Sensor03,Status01,Status02,Status03
22/05/2019,12:39:06,0,1,0,0,0,0
22/05/2019,12:39:14,0,1,0,0,0,0
22/05/2019,12:39:16,0,1,0,0,0,0
22/05/2019,12:39:20,0,0,1,0,0,0
22/05/2019,12:39:22,0,0,1,0,0,0
22/05/2019,12:39:24,0,0,1,0,0,0
22/05/2019,12:39:26,0,1,1,0,0,0
22/05/2019,12:39:28,0,0,1,0,0,0
22/05/2019,12:39:30,0,0,1,0,0,0
22/05/2019,12:39:32,1,0,1,0,0,0
22/05/2019,12:39:34,1,0,0,0,0,0
22/05/2019,12:39:48,0,0,1,0,0,0
22/05/2019,12:39:52,0,0,1,0,0,0
22/05/2019,12:40:16,0,0,0,1,0,0
22/05/2019,12:40:20,0,0,0,0,1,1
22/05/2019,12:40:44,1,0,1,0,0,0
22/05/2019,12:40:46,0,1,1,0,0,0
22/05/2019,12:40:48,0,0,1,0,0,0
22/05/2019,12:40:50,0,0,1,0,0,0
22/05/2019,12:41:14,1,0,1,0,0,0
22/05/2019,12:41:16,0,0,1,0,0,0
22/05/2019,12:41:22,0,1,0,0,0,0
22/05/2019,12:42:16,0,0,0,1,0,0
22/05/2019,12:42:20,0,1,1,0,0,1
22/05/2019,12:42:22,0,0,1,0,0,0
22/05/2019,12:44:03,1,0,0,0,0,0
22/05/2019,12:44:14,0,1,0,0,0,0
22/05/2019,12:44:16,0,0,0,1,0,0
22/05/2019,12:44:20,0,0,0,0,1,1
22/05/2019,12:44:24,0,0,1,0,0,0
22/05/2019,12:44:26,0,0,1,0,0,0
22/05/2019,12:44:28,0,0,1,0,0,0
22/05/2019,12:45:14,1,0,0,0,0,0
22/05/2019,12:45:44,0,1,0,0,0,0
22/05/2019,12:45:46,0,1,0,0,0,0
22/05/2019,12:45:56,0,0,1,0,0,0
22/05/2019,12:46:00,0,0,1,0,0,0
22/05/2019,12:46:08,0,1,0,0,0,0
22/05/2019,12:46:16,0,0,0,1,0,0
22/05/2019,12:46:20,0,0,0,0,1,1
22/05/2019,12:46:32,1,0,0,0,0,0
22/05/2019,12:46:34,1,0,0,0,0,0
22/05/2019,12:46:40,0,1,0,0,0,0
22/05/2019,12:46:42,0,1,0,0,0,0
22/05/2019,12:46:50,0,0,1,0,0,0
22/05/2019,12:46:54,0,0,1,0,0,0
